SrNo,Name Of the Program,Type of Course,Code,Need,Description of the need
819,MA(English),English Literature from 1550 to 1832,PGENG101,Global,"Nurturing critical thinking, cultural understanding, and empathy towards diverse perspectives, preparing students to engage effectively in a globalized world."
820,MA(English),Literary Theory and Criticism,PGENG102,Global,"Mastery ofliterary theory enhances the nation's cultural and
educational diplomacy, promoting its literature and academic expertise globally."
821,MA(English),Research Methodology - I,PGENG103,National,"Encouraging research skills supports scientific and technological innovation, contributing to national progress in various fields."
822,MA(English),Modern American Literature,PGENG104,Global,"Works in modern American literature often address
significant societal and political issues, offering insights that resonate beyond national borders."
823,MA(English),Media and Communication Skills - I,PGENG105,Regional and National,"Develop critical thinking skills, cultural sensitivity, and a deeper understanding of the  role of media and advertising in shaping national and regional identities."
824,MA(English),English Literature from 1832 to 1980,PGENG201,National and Global,"Nurturing critical thinking, cultural understanding, and
empathy towards diverse perspectives, preparing students to engage effectively in a globalized world."
825,MA(English),Contemporary Critical Theorv,PGENG202,National,"To nurturing critical thinking, cultural awareness, and scholarly enga11:ement amon11: students."
826,MA(English),"Research Methodology-
II",PGENG203,National,"Encouraging research skills supports scientific and
technological innovation, contributing to national progress in various fields."
827,MA(English),"Canadian, Australian,
New Zealand Literatures in English",PGENG204,Global,"Promote cultural understanding, and enrich discussions on global issues."
828,MA(English),Media and Communication Skills - II,PGENG205,Regional and National,"Develop critical thinking skills, cultural sensitivity, and a
deeper understanding of the  role of media and advertising in shaping national and regional identities."
829,MA(English),Modern English Literature,PGENG301,National,"Works in modern English literature often address significant
societal and political issues, offering insights that resonate beyond national borders."
830,MA(English),Indian Writing in English,PGENG302,National,Inclusion of Indian Writing in English offers students exposure to diverse literary traditions and helps in fostering literary appreciation and critical thinking skills.
831,MA(English),Introduction to Modern Linguistics,PGENG303,National,"Works in modern English literature often address significant societal and political issues, offering insights that resonate
beyond national borders."
832,MA(English),European Literature in English Translation I,PGENG304,Global,"Promote cultural understanding, and enrich discussions on global issues."
833,MA(English),Professional and Projective Skills,PGENG305,National,"Equipping students with these skills enhances their employability, meeting the demands of the  job market and
supporting the nation's workforce requirements."
834,MA(English),"Contemporary English
Literature",PGENG401,National,"To nurturing critical thinking, cultural awareness, and scholarly engagement amongstudents."
835,MA(English),Indian Literature in English Translation,PGENG402,National,"Works in Indian English literature often address significant societal and political issues, offering insights that resonate beyond national borders."
836,MA(English),Stylistics and Sociolinguistics,PGENG403,National and Global,"It helps to preserve cultural heritage, and promoting effective communication strategies within diverse communities"
837,MA(English),Introduction to Comparative Literature,PGENG404,National,"Works in Indian English literature often address significant societal and political issues, offering insights that resonate beyond national borders."
838,MA(English),Creative and Technical Writing,PGENG405,Local,Utilizing creative writing for local public awareness campaigns addresses local issues
839,"MSc
(Information Technology)",Big Data Analytics,PGIT101,Global,Big data  used to improve decision-making in line with current market demand.
840,MSc (Information Technology),Big Data Analytics Practical,PGIT1P1,Global,"Improve operations, provide better customer service, create personalized marketing campaigns and take other actions that, ultimately, can increase revenue and profits."
841,MSc (Information Technology),Data Science,PGIT102,National,"Data science is used for a wide range of applications, including predictive analytics, machine learning, data visualization, recommendation systems, fraud detection,
sentiment analysis, and decision-making."
842,MSc (Information Technology),Data Science Practical,PGIT1P2,National,"It is the study and practice of how we can extract insight and knowledge from large amounts of data. It is a burgeoning field, currently attracting substantial demand from both
academia and industry."
843,MSc (Information Technology),Cloud Computing,PGIT103,Local,"cloud computing is the delivery of computing
services-includingservers, storage, databases, networking, software, analytics, and intelligence-over the internet (""the cloud"") to offer faster innovation, flexible resources, and
economies of scale."
844,"MSc
(Information Technology)",Cloud Computing Practical,PGIT103P,Local,"Private or public, the goal of cloud computing is to provide easy, scalable access to computing resources and IT services."
845,"MSc
(Information Technology)",Soft Computing Techniques,PGIT104,Regional,"Soft computing provides distinct low-cost solutions with the help of algorithms, databases, Fuzzy Sets (FSs), and Artificial
Neural Networks fANNs)."
846,"MSc
(Information Technology)",Soft Computing Techniques Practical,PGIT1P4,Regional,"Soft computing techniques are designed to mimic human-like reasoning, which is often more effective in solving complex
problems."
847,"MSc (Information
Technology)",Modern Networking Practical,PGIT2P3,Global,"It connects people and endpoints to applications, instead of connecting network to network."
848,"MSc
(Information Technology)",Applied Artificial Intelligence,PGIT204,Regional,It enhances software applications and providing high levels of accuracy and adaptation over time.
849,"MSc (Information
Technology)",Applied Artificial Intelligence Practical,PGIT2P4,Regional,"Because  of artificial intelligence, we can solve complex problems, increase efficiency, and improve decision-making."
850,"MSc
(Information Technology)",Computer Forensic,PGIT20SA,Local,"It identify, collect, preserve, and analyze data in a way that preserves the integrity of the evidence collected."
851,MSc (Information Technology),Computer Forensic Practical,PGIT2PSA,Local,"The goal of computer forensics is to perform a structured investigation and maintain a documented chain of evidence to find out exactly what happened on a computing device and
who was responsible for it"
852,"MSc
(Information Technology)",Computer Vision,PGIT205B,Regional,"It enables computers and systems to derive meaningful
information from digital images, videos and other visual inputs."
853,MSc (Information Technolol!V),Computer Vision Practical,PGIT2PSB,Regional,"It include image classification, object localization and detection, and image segmentation."
854,MSc (Information Technology),Technical Writing and Entrepreneurship Development,PGIT301,Global,"It drives economic growth and creates new job. Encourages innovation by bringing new ideas, products, and services to
the market"
855,"MSc
(Information Technology)","Technical Writing and
Entrepreneurship Development Practical",PGIT3P1,Global,"It  helps to improve skill requirement such as creative thinking, communication, risk taking, and resilience and
helping them become career ready."
856,"MSc
(Information Technology)",Machine Learning,PGIT302,Local,"It helps computers to learn from data, without being explicitly programmed."
857,"MSc
(Information Technology)",Machine Learning Practical,PGIT3P2,Local,"It helps computers to perform specific tasks autonomously, that is, without the need to be programmed."
858,"MSc
(Information Technology)",Advanced loT,PGIT303,National,It enables machines to complete tedious tasks without human intervention.
859,"MSc
(Information
Technolol?V)",Advanced IoT Practical,PGIT3P3,National,"It enforce security standards, help you protect data by implementing segmentation and data encryption."
860,"MSc
(Information Technolo17V)",Malware Analysis,PGIT304A,Global,The key benefit of malware analysis is that it helps incident responders and security analysts.
861,"MSc
(Information Technolo17V)",Malware Analysis Practical,PGIT3P4A,Global,Malware analysis helps to understand the behavior and purpose of a suspicious file or URL.
862,"MSc
(Information Technolol!V)",Robotic Process Automation,PGIT3048,Local,"It helps to automation technologies to mimic back-office tasks
of human workers, such as extracting data, filling in forms,
moving files, et cetera."
863,MSc (Information Technology),Robotic Process Automation Practical,PGIT3P48,Local,"It used to automate various supply chain processes, including
data entry, predictive maintenance and after-sales service
SUDDOrt"
864,MSc (Information Technolo!?V),Internship,PGIT305,Global,"It describe the mentoring and training involved.Compensation. Length of internship, desired hours."
865,MSc (Information Technolol!V),Blockchain,PGIT401,National,"Because blockchain uses a distributed ledger, transactions and data are recorded identically in multiple locations."
866,"MSc (Information
Technology)",Deep Learning,PGIT402,Local,"It improve automation, performing analytical and physical tasks without human intervention."
867,"MSc (Information
Technology)",Deep Learning Practical,PGIT4P2,Local,"Deep learning helps to process information like human brain, they can be applied to many tasks people do."
868,"MSc (Information
Technology)",Natural Language Processing,PGIT403,National,Natural language processing helps computers communicate with humans in their own language.
869,MSc (Information Technology),Natural Language Processing Practical,PGIT4P3,National,"Technologies are critical for enterprises that handle a lot of unstructured text Sentiment analysis, chatbots, text extraction, text summarization, and speech recognition are
some real-life applications."
870,"MSc
(Information Technolol?V)",Human Computer Interaction,PGIT404A,Global,"It is concerned with understanding and improving the
interaction between humans and computers to make technolol!Vmore user-friendly."
871,"MSc
(Information Technolol?V)",Human Computer Interaction Practical,PGIT4P4A,Global,"By reducing user effort and cognitive load, HCI contributes to increased productivity in various domains, from business applications to healthcare."
872,"MSc (Information
Technolol?V)",Virtual Reality and Augmented Reality,PGIT4048,Local,"a computer-generated environment with scenes and objects that appear to be real, malting the user feel they are immersed
in their surroundings."
873,MSc (Information Technology),Virtual Reality and Augmented Reality Practical,PGIT4P48,Local,"VR is used for simulations and training in fields such as aviation, medicine and filters and effects are  widely used in social media platforms, allowing users to enhance their
photos and videos with virtual elements."
874,MSc (Information Technology),Project,PGIT405,National,"A project is a unique, undertaken to achieve planned objectives, which could be defined in terms of outputs, outcomes or benefits. It achieves the objectives according to their acceptance criteria, within an agreed timescale and
budget"
875,MSc (Bioanalytical Sciences),"Extraction techniques and different medicine systems-I and
Pharmacognosy",PGBAS101,National,Students learn about clasification of medicinal system and its principles.
876,"MSc (Bioanalytical
Sciences)",Research Methodology,PGBAS203,National,Provide basic understnading of IPR
877,MSc (Bioanalytical Sciences),"Drug Act and Quality Management, Quality Control and Quality Assurance and Stability
studies.",PGBAS103,Local and Regional,Understand the drug act and its quality management
878,MSc (Bioanalytical Sciences),"Solid Phase extraction, Supercritical fluid extraction and Environmental issues in Bioanalytical Laboratory",PGBAS201,National and Global,Analysis of impact of laboratoty waste on enviroment
879,MSc (Bioanalytical Sciences),"Standardization of ASU drugs, Electronic data management, Nanotechnologyand Laboratory safety and
chemical handling",PGBAS301,Local and National,Training of working in wet laboratory
880,MSc (Bioanalytical Sciences),Analysis of samples in food industry,PGBAS305,National,Techniques of analysis in food sample
881,MSc (Bioanalytical Sciences),"Regulatory aspects,
Packaging in Pharma. industry, Regulatory microbiology and
Environmental safety",PGBAS401,National,Ensuring the safety and efficacy of pharmaceutical products and protecting the environment
882,MSc (Geoinformatics),"Introduction To
Fundamentals of Geography",PGGINF101,Local and regional,Understanding Local Environment.Urban Planning and Development.
883,MSc (Geoinformatics),Fundamentals of Remote Sensing,PGGINF102,National,"Remote sensing techniques assist in monitoring natural resources such as forests, water bodies, and agricultural lands, aiding in their sustainable management."
884,MSc (Geoinformatics),Fundamentals of Geographic Information System,PGGINF103,Local and regional,Understanding Local Environment.Urban Planning and Development.
885,MSc (Geoinformatics),Practical In Remote Sensing,PGGINF104A,National,"Remote sensing techniques assist in monitoring natural resources such as forests, water bodies, and agricultural lands, aiding in their sustainable management."
886,MSc (Geoinformatics),Fundamentals of Computers,PGGINF1048,National,"Understanding computer fundamentals aids in the
development of innovative geospatial technologies and applications"
887,MSc (Geoinformatics),Practical In Geographic Information System,PGGINF105,Local and regional,Understanding Local Environment.Urban Planning and Development.
888,MSc (Geoinformatics),Aerial Photography and Photogrammetry,PGGINF201,Global,"Aerial imagery assists in transportation network planning, including roads, railways, and airports, contributing to efficient national transportation systems."
889,MSc (Geoinformatics),Cartography and Data Representation,PGGINF202,Global,"Addressing global challenges, fostering international cooperation, and facilitating better understanding and decision-making on a global scale."
890,MSc (Geoinformatics),Introduction to Statistics,PGGINF203,National,"Statistical techniques assist in analyzing risk factors and vulnerability assessment, supporting disaster risk reduction stratelries at the national level."
891,"MSc
(Geoinformatics)",Open Source GI$,PGGINF204B,Local and remonal,Understanding Local Environment.Urban Planning and Development
892,"Mcom               (
Accountancy)",Strategic Management,PGCOM101,National and Global,"Aids with business expansion, sustainability promotion, economic development, and global strategy adaptation."
893,"Mcom               (
Accountancy)",Economics for Business Decisions,PGCOM102,National,The information and abilities needed to make wise economic decisions across different economic landscapes.
894,"Mcom               (
Accountancy)",Cost Techniques,PGCOM103.1,National and global,"It provides specific understanding in cost analysis, flexible pricing tactics, localized budgeting, and cost optimization."
895,"Mcom               (
Accountancy)",Financial Ananlysis & Control,PGCOM103.2,National and global,"Meets local demands by offering specific financial analysis
expertise, adherence to regional laws, and customized financial planning."
896,"Mcom               (
Accountancy)",Cost Techniques Examination,PGCOM104.2,Global,It makes sure companies abide by global laws and cost accounting standards.
897,"Mcom               (
Accountancy)",Research Methodology,PGCOM201,National and Global,"Addresses global concerns, integrates technology, promotes ethical behavior, offers flexible research methods, and
provides findings that are applicable and relevant across national borders."
898,"Mcom               (
Accountancy)","Macro Economics Concepts and
Applications",PGCOM202,Global,"A greater grasp of the dynamics of the global economy is
facilitated by knowledge of macroeconomic ideas and their applications."
899,"Mcom               (
Accountancv)",Corporate Finance,PGCOM203.1,National,Aids in financial decision-making processes that are aoolicable to coroorations operating across borders.
900,"Mcom               (
Accountancy)",Management Control & Cost Control,PGCOM203.2,National and Global,"Addresses the need of information and abilities needed for designing, implementing, and overseeing control systems that successfully support international corporate operations."
901,"Mcom               (
Accountancy)",Management Control & Cost Control,PGCOM204.2,Local and Regional,"Addresses the need of information and abilities needed for designing, implementing, and overseeing control systems that successfully support international corporate operations."
902,"Mcom               (
Accountancy)","Strategic Performance
Management & Business Valuation",PGCOM403,Local and Regional,Students develop strategic performance management & business valuation
903,"Mcom               (
Accountancv)",Internship,PGCOM404,National,Students develop their industry oriented skill and it will be benificial for placement
904,"Mcom              (
Accountancy)",Personal Tax Planning,PGCOM405.1,Local and Regional,"Personal tax planning helps individuals understand their tax obligations, ensuring compliance with local tax laws and regulations."
905,"Mcom               (
Accountancy)",Operational Management,PGCOM405.2,National,"Promote economic growth, and foster sustainable development within the nation."
